Name,Lat,Long
Cormeilles-en-Parisis,48.96866508212806,2.1930924686940605
Couilly-Saint-Germain-Quincy,48.882681045735296,2.8543159264638946
Coulommiers,48.80786913914583,3.0816485260772395
Courbevoie,48.89862464803908,2.2491965080151246
Courcelle-sur-Yvette,48.701217719380196,2.097975858420524
Crécy-la-Chapelle,48.85955731593991,2.9057369645485336
Creil,49.26394414357276,2.4689141153510383
Crépy-en-Valois,49.23101805923178,2.887366704975861
Créteil Pompadour,48.77126603718618,2.435306339706322
Crouy-sur-Ourcq,49.09188299534144,3.0626904069870555
Dammartin-Juilly-Saint-Mard,49.032279109980884,2.699222253625638
Denfert-Rochereau,48.833073169694686,2.333203670349574
Deuil-Montmagny,48.97605425219654,2.33852407064514
Domont,49.032972045837816,2.3368296898368266
Dordives,48.147218038978494,2.762728388543795
